"member_i","religion_i","member_j","religion_j","similarity"
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Spencer Bachus","Protestant","Robert B. Aderholt","Protestant",1
"Jo Bonner","Protestant","Robert B. Aderholt","Protestant",1
"Jo Bonner","Protestant","Robert B. Aderholt","Protestant",1
"Jo Bonner","Protestant","Robert B. Aderholt","Protestant",1
"Jo Bonner","Protestant","Robert B. Aderholt","Protestant",1
"Jo Bonner","Protestant","Robert B. Aderholt","Protestant",1
"Jo Bonner","Protestant","Robert B. Aderholt","Protestant",1
"Jo Bonner","Protestant","Robert B. Aderholt","Protestant",1
"Jo Bonner","Protestant","Robert B. Aderholt","Protestant",1
"Jo Bonner","Protestant","Robert B. Aderholt","Protestant",1
"Jo Bonner","Protestant","Robert B. Aderholt","Protestant",1
"Jo Bonner","Protestant","Robert B. Aderholt","Protestant",1
"Jo Bonner","Protestant","Robert B. Aderholt","Protestant",1
"Jo Bonner","Protestant","Robert B. Aderholt","Protestant",1
"Jo Bonner","Protestant","Robert B. Aderholt","Protestant",1
"Jo Bonner","Protestant","Robert B. Aderholt","Protestant",1
"Jo Bonner","Protestant","Robert B. Aderholt","Protestant",1
"Jo Bonner","Protestant","Robert B. Aderholt","Protestant",1
"Jo Bonner","Protestant","Robert B. Aderholt","Protestant",1
"Jo Bonner","Protestant","Robert B. Aderholt","Protestant",1
"Jo Bonner","Protestant","Robert B. Aderholt","Protestant",1
"Jo Bonner","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Robert B. Aderholt","Protestant",1
"Mo Brooks","Protestant","Spencer Bachus","Protestant",1
"Mo Brooks","Protestant","Spencer Bachus","Protestant",1
"Mo Brooks","Protestant","Spencer Bachus","Protestant",1
"Mo Brooks","Protestant","Spencer Bachus","Protestant",1
"Mo Brooks","Protestant","Spencer Bachus","Protestant",1
"Mo Brooks","Protestant","Spencer Bachus","Protestant",1
"Mo Brooks","Protestant","Spencer Bachus","Protestant",1
"Mo Brooks","Protestant","Spencer Bachus","Protestant",1
"Mo Brooks","Protestant","Spencer Bachus","Protestant",1
"Mo Brooks","Protestant","Spencer Bachus","Protestant",1
"Mo Brooks","Protestant","Spencer Bachus","Protestant",1
"Mo Brooks","Protestant","Spencer Bachus","Protestant",1
"Mo Brooks","Protestant","Spencer Bachus","Protestant",1
"Mo Brooks","Protestant","Spencer Bachus","Protestant",1
"Mo Brooks","Protestant","Spencer Bachus","Protestant",1
"Mo Brooks","Protestant","Spencer Bachus","Protestant",1
"Mo Brooks","Protestant","Spencer Bachus","Protestant",1
"Mo Brooks","Protestant","Spencer Bachus","Protestant",1
"Mo Brooks","Protestant","Spencer Bachus","Protestant",1
"Mo Brooks","Protestant","Spencer Bachus","Protestant",1
"Mo Brooks","Protestant","Spencer Bachus","Protestant",1
"Mo Brooks","Protestant","Spencer Bachus","Protestant",1
"Mo Brooks","Protestant","Spencer Bachus","Protestant",1
"Mo Brooks","Protestant","Spencer Bachus","Protestant",1
"Mo Brooks","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Spencer Bachus","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Martha Roby","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
"Mike D. Rogers","Protestant","Jo Bonner","Protestant",1
