AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
0,0.0222222227603197,0.111111111938953,0.0444444455206394,0.200000002980232,0.177777782082558,0.0666666701436043,0.0666666701436043,0.200000002980232,0.0666666701436043,0,0.0444444455206394,0.0222222227603197,0,0.0444444455206394,0,0.0222222227603197,0,0.0222222227603197,0,0.155555561184883,0.0222222227603197,0.0444444455206394,0,0,0.0222222227603197,0,0.0666666701436043,0.0444444455206394,0.0888888910412788,0.0222222227603197,0.311111122369766,0.0444444455206394,0,0.0222222227603197,0,0.200000002980232,0,0.0666666701436043,0.0666666701436043,0,0.0444444455206394,0.0444444455206394,0.0444444455206394,0.133333340287209,0,0.177777782082558,0,0,0
0.0599999986588955,0.0500000007450581,0.0500000007450581,0.0900000035762787,0.0399999991059303,0.0599999986588955,0.00999999977648258,0,0.00999999977648258,0.0299999993294477,0.0199999995529652,0,0.0299999993294477,0.0299999993294477,0.100000001490116,0.0500000007450581,0.0500000007450581,0.00999999977648258,0.0299999993294477,0,0.00999999977648258,0.0399999991059303,0.0399999991059303,0.0299999993294477,0.0599999986588955,0.300000011920929,0.109999999403954,0.119999997317791,0.00999999977648258,0.00999999977648258,0.0700000002980232,0.00999999977648258,0.00999999977648258,0.140000000596046,0.0399999991059303,0.0500000007450581,0.119999997317791,0.0199999995529652,0,0.0299999993294477,0.119999997317791,0.0500000007450581,0.0399999991059303,0.170000001788139,0.0500000007450581,0,0.129999995231628,0.0399999991059303,0.0199999995529652,0.280000001192093
0.0196078438311815,0.00490196095779538,0.0245098043233156,0.0245098043233156,0.0784313753247261,0.0588235296308994,0.0588235296308994,0.0245098043233156,0.0490196086466312,0.0196078438311815,0.00490196095779538,0.0147058824077249,0,0.35784313082695,0.127450987696648,0.0833333358168602,0.0784313753247261,0.0196078438311815,0.0147058824077249,0.0588235296308994,0.0833333358168602,0.215686276555061,0.186274513602257,0.0147058824077249,0.0441176481544971,0.0147058824077249,0.0588235296308994,0.00980392191559076,0.0245098043233156,0.102941177785397,0.00490196095779538,0.147058829665184,0.0245098043233156,0.0392156876623631,0.264705896377564,0.0245098043233156,0.034313727170229,0.191176474094391,0.00980392191559076,0.00980392191559076,0.0490196086466312,0.0441176481544971,0.0196078438311815,0.0196078438311815,0.0147058824077249,0.0245098043233156,0.0441176481544971,0.0245098043233156,0.16666667163372,0.0147058824077249
0.0452488698065281,0,0.00904977414757013,0.0316742099821568,0.0180995482951403,0.0452488698065281,0.00452488707378507,0.00904977414757013,0.0180995482951403,0.0633484199643135,0,0.0135746607556939,0.330316752195358,0,0.167420819401741,0.09502262622118,0.0995475128293037,0.0361990965902805,0.0135746607556939,0.0316742099821568,0.0316742099821568,0.212669685482979,0.122171945869923,0.0361990965902805,0.122171945869923,0.0135746607556939,0.0633484199643135,0,0.00452488707378507,0.0407239831984043,0.00452488707378507,0.0633484199643135,0.0542986430227757,0.0135746607556939,0.294117659330368,0.0271493215113878,0.0135746607556939,0.19004525244236,0.00904977414757013,0.022624434903264,0.0271493215113878,0.122171945869923,0.0316742099821568,0.0180995482951403,0,0.0361990965902805,0.00452488707378507,0.0497737564146519,0.208144798874855,0.00904977414757013
0.0402684547007084,0.0201342273503542,0.0335570462048054,0.114093959331512,0.0134228188544512,0.100671142339706,0.0134228188544512,0,0.00671140942722559,0.0335570462048054,0.0134228188544512,0.0671140924096108,0.174496650695801,0.248322144150734,0,0.221476510167122,0.0805369094014168,0.0402684547007084,0.0402684547007084,0,0.0268456377089024,0.114093959331512,0.161073818802834,0.0335570462048054,0.147651001811028,0.0738255009055138,0.187919467687607,0.00671140942722559,0.0134228188544512,0.00671140942722559,0.0268456377089024,0.0201342273503542,0.0201342273503542,0.0805369094014168,0.147651001811028,0.120805367827415,0.0536912754178047,0.0469798669219017,0.0134228188544512,0.0201342273503542,0.0939597338438034,0.0671140924096108,0.0335570462048054,0.0201342273503542,0.0201342273503542,0.0134228188544512,0.0402684547007084,0.0201342273503542,0.134228184819222,0.0469798669219017
0.0808823555707932,0.0220588240772486,0.0514705888926983,0.176470592617989,0.0147058824077249,0.0514705888926983,0.00735294120386243,0,0.0147058824077249,0.0955882370471954,0,0.036764707416296,0.125,0.154411762952805,0.242647051811218,0,0.110294118523598,0.0588235296308994,0.00735294120386243,0.00735294120386243,0,0.0588235296308994,0.073529414832592,0.0882352963089943,0.169117644429207,0.0588235296308994,0.213235288858414,0.0220588240772486,0.00735294120386243,0.00735294120386243,0.036764707416296,0,0.0514705888926983,0.0514705888926983,0.0808823555707932,0.147058829665184,0.0220588240772486,0.0147058824077249,0,0.073529414832592,0.0955882370471954,0.117647059261799,0.0808823555707932,0.0441176481544971,0.0147058824077249,0.0220588240772486,0.00735294120386243,0.0294117648154497,0.073529414832592,0.0882352963089943
0.218934908509254,0.0177514795213938,0.029585799202323,0.13609467446804,0.0236686393618584,0.0355029590427876,0.00591715984046459,0,0.0650887563824654,0.201183438301086,0.00591715984046459,0.029585799202323,0.0946745574474335,0.130177512764931,0.0710059180855751,0.0887573957443237,0,0.165680468082428,0.0177514795213938,0.029585799202323,0.0177514795213938,0.0710059180855751,0.0473372787237167,0.195266276597977,0.0887573957443237,0.0236686393618584,0.029585799202323,0.0177514795213938,0.00591715984046459,0.0118343196809292,0.0177514795213938,0.0177514795213938,0.189349114894867,0.029585799202323,0.0946745574474335,0.0887573957443237,0.0236686393618584,0.0650887563824654,0.00591715984046459,0.236686393618584,0.029585799202323,0.325443774461746,0.112426035106182,0.0355029590427876,0.0177514795213938,0.0650887563824654,0.0177514795213938,0.15384615957737,0.0473372787237167,0.041420117020607
0.322834640741348,0.0551181100308895,0.078740157186985,0.181102365255356,0.031496062874794,0.0551181100308895,0,0.0078740157186985,0.149606302380562,0.31496062874794,0,0.0078740157186985,0.031496062874794,0.062992125749588,0.047244094312191,0.062992125749588,0.220472440123558,0,0.0078740157186985,0,0,0.0078740157186985,0.015748031437397,0.37007874250412,0.062992125749588,0.0078740157186985,0.0393700785934925,0.015748031437397,0,0,0.0551181100308895,0.0078740157186985,0.118110239505768,0.0236220471560955,0.047244094312191,0.21259842813015,0.0393700785934925,0,0.0078740157186985,0.244094491004944,0.0393700785934925,0.299212604761124,0.165354326367378,0.0236220471560955,0.0078740157186985,0.0551181100308895,0,0.110236220061779,0.0393700785934925,0.062992125749588
0.0270270276814699,0.013513513840735,0,0.013513513840735,0.0540540553629398,0.10810811072588,0.229729726910591,0.0810810774564743,0.0405405387282372,0.0270270276814699,0.013513513840735,0.0405405387282372,0.0405405387282372,0.0405405387282372,0.0810810774564743,0.013513513840735,0.0405405387282372,0.013513513840735,0,0.10810811072588,0.202702701091766,0.0540540553629398,0.0405405387282372,0.013513513840735,0,0.0270270276814699,0.013513513840735,0.0270270276814699,0.216216221451759,0.135135129094124,0,0.0540540553629398,0.0405405387282372,0.013513513840735,0.0945945978164673,0.013513513840735,0.0945945978164673,0.0675675645470619,0.175675675272942,0.0540540553629398,0.013513513840735,0.0270270276814699,0,0.013513513840735,0.229729726910591,0.0945945978164673,0.0405405387282372,0.013513513840735,0.0270270276814699,0.0270270276814699
0.0181818176060915,0,0.00909090880304575,0,0.036363635212183,0.0454545468091965,0.218181818723679,0.145454540848732,0.00909090880304575,0.0636363625526428,0,0,0.109090909361839,0.0636363625526428,0,0.00909090880304575,0.0454545468091965,0,0.072727270424366,0,0.209090903401375,0.100000001490116,0.0636363625526428,0,0.0181818176060915,0.00909090880304575,0,0.00909090880304575,0.0818181782960892,0.181818187236786,0,0.200000002980232,0.100000001490116,0,0.136363640427589,0,0.036363635212183,0.145454540848732,0.109090909361839,0.0181818176060915,0,0.0545454546809197,0,0,0.0909090936183929,0.145454540848732,0.0545454546809197,0.0454545468091965,0.036363635212183,0
0.012269938364625,0.00613496918231249,0.012269938364625,0.00613496918231249,0.21472392976284,0.0736196339130402,0.294478535652161,0.10429447889328,0.04294478520751,0.02453987672925,0.04294478520751,0.00613496918231249,0.10429447889328,0.04294478520751,0.02453987672925,0,0.01840490847826,0,0.0920245423913002,0.1411042958498,0,0.0490797534584999,0.06134969368577,0.00613496918231249,0.00613496918231249,0.00613496918231249,0.00613496918231249,0.01840490847826,0.10429447889328,0.21472392976284,0.02453987672925,0.288343548774719,0.030674846842885,0,0.06748466193676,0,0.11656441539526,0.1411042958498,0.1411042958498,0.01840490847826,0.012269938364625,0.030674846842885,0.00613496918231249,0.00613496918231249,0.12883435189724,0.0736196339130402,0.10429447889328,0.012269938364625,0.0552147254347801,0.00613496918231249
